tweet_dt,topic,id,username,name,number of followers,tweet,tag_type,tag,sentiment,polarity,like_count,reply_count,retweet_count,account_start_date,verified_user,location,total number of tweets
2020-09-18,Pakistan,1306812381134192640,shahid24475911,shahid,38,"Now Pakistan is in safe hand Alhamdulilah pak grow furiously then before.. inshAllah IK fix everything...,,,💪",,Alhamdulilah,NEGATIVE,-0.7668353915214539,0,0,0,2018-04-30 13:41:04,False,23 Ali block new garden town,152
2020-09-18,Pakistan,1306812365913161730,MASUDQAIM11,MASUDQAIM1,61,Pakistan    at     crossroads  !   People  please   decide   ...  No more   lecherous'   politicians  i.e   Bilawal… https://t.co/drFEIb3Xrh,,Pakistan,POSITIVE,0.5981219410896301,0,0,0,2018-09-03 04:38:34,False,Islamabad ,7291
2020-09-18,Pakistan,1306812365913161730,MASUDQAIM11,MASUDQAIM1,61,Pakistan    at     crossroads  !   People  please   decide   ...  No more   lecherous'   politicians  i.e   Bilawal… https://t.co/drFEIb3Xrh,,Bilawal,POSITIVE,0.5981219410896301,0,0,0,2018-09-03 04:38:34,False,Islamabad ,7291
2020-09-18,Pakistan,1306812319708528641,mohandixit,INDIAN. HINDUSTANI,86,@RvUpadhya @dineshgrao He will not talk about Chinese virus or Chinese aggression. Or about PAKISTAN TERRORISM beca… https://t.co/YsCNc9ljIP,,Chinese,NEGATIVE,-0.993164598941803,0,0,0,2011-11-17 03:29:40,False,,14280
2020-09-18,Pakistan,1306812319708528641,mohandixit,INDIAN. HINDUSTANI,86,@RvUpadhya @dineshgrao He will not talk about Chinese virus or Chinese aggression. Or about PAKISTAN TERRORISM beca… https://t.co/YsCNc9ljIP,,Chinese,NEGATIVE,-0.993164598941803,0,0,0,2011-11-17 03:29:40,False,,14280
2020-09-18,Pakistan,1306812319708528641,mohandixit,INDIAN. HINDUSTANI,86,@RvUpadhya @dineshgrao He will not talk about Chinese virus or Chinese aggression. Or about PAKISTAN TERRORISM beca… https://t.co/YsCNc9ljIP,,PAKISTAN,NEGATIVE,-0.993164598941803,0,0,0,2011-11-17 03:29:40,False,,14280
2020-09-18,Pakistan,1306812294853165057,ImranInc,Imran Ahmad,5451,PMIK address at the 4th Annual Austrian World Summit explains how Pakistan took revolutionary steps through plantin… https://t.co/QNK3tIaEbs,,PMIK,POSITIVE,0.7237119078636169,1,0,1,2011-10-30 15:34:31,False,,40869
2020-09-18,Pakistan,1306812294853165057,ImranInc,Imran Ahmad,5451,PMIK address at the 4th Annual Austrian World Summit explains how Pakistan took revolutionary steps through plantin… https://t.co/QNK3tIaEbs,,4th Annual,POSITIVE,0.7237119078636169,1,0,1,2011-10-30 15:34:31,False,,40869
2020-09-18,Pakistan,1306812294853165057,ImranInc,Imran Ahmad,5451,PMIK address at the 4th Annual Austrian World Summit explains how Pakistan took revolutionary steps through plantin… https://t.co/QNK3tIaEbs,,Austrian World Summit,POSITIVE,0.7237119078636169,1,0,1,2011-10-30 15:34:31,False,,40869
2020-09-18,Pakistan,1306812294853165057,ImranInc,Imran Ahmad,5451,PMIK address at the 4th Annual Austrian World Summit explains how Pakistan took revolutionary steps through plantin… https://t.co/QNK3tIaEbs,,Pakistan,POSITIVE,0.7237119078636169,1,0,1,2011-10-30 15:34:31,False,,40869
